name,country,field,year
César Milstein, Argentina, Physiology or Medicine, 1984
Adolfo Pérez Esquivel, Argentina, Peace, 1980
Luis Federico Leloir, Argentina, Chemistry, 1970
Bernardo Houssay, Argentina, Physiology or Medicine, 1947
Carlos Saavedra Lamas, Argentina, Peace, 1936
Brian Schmidt, Australia, Physics, 2011
Elizabeth Blackburn, Australia, Physiology or Medicine, 2009
Barry Marshall, Australia, Physiology or Medicine, 2005
J. Robin Warren, Australia, Physiology or Medicine, 2005
Peter C. Doherty, Australia, Physiology or Medicine, 1996
Rolf Zinkernagel, Australia, Physiology or Medicine, 1996
John Harsanyi, Australia, Economics, 1994
John Cornforth, Australia, Chemistry, 1975
Patrick White, Australia, Literature, 1973
Alexander Prokhorov, Australia, Physics, 1964
John Carew Eccles, Australia, Physiology or Medicine, 1963
Sir Frank Macfarlane Burnet, Australia, Physiology or Medicine, 1960
Howard Florey, Australia, Physiology or Medicine, 1945
Martin Karplus, Austria, Chemistry, 2013
International Atomic Energy Agency, Austria, Peace, 2005
Elfriede Jelinek, Austria, Literature, 2004
Eric Kandel, Austria, Physiology or Medicine, 2000
Walter Kohn, Austria, Chemistry, 1998
Friedrich Hayek, Austria, Economics, 1974
Konrad Lorenz, Austria, Physiology or Medicine, 1973
Karl von Frisch, Austria, Physiology or Medicine, 1973
Max Perutz, Austria, Chemistry, 1962
Wolfgang Pauli, Austria, Physics, 1945
Richard Kuhn, Austria, Chemistry, 1938
Otto Loewi, Austria, Physiology or Medicine, 1936
Victor Francis Hess, Austria, Physics, 1936
Erwin Schrödinger, Austria, Physics, 1933
Karl Landsteiner, Austria, Physiology or Medicine, 1930
Julius Wagner-Jauregg, Austria, Physiology or Medicine, 1927
Richard Adolf Zsigmondy, Austria, Chemistry, 1925
Friderik Pregl, Austria, Chemistry, 1923
Róbert Bárány, Austria, Physiology or Medicine, 1914
Alfred Hermann Fried, Austria, Peace, 1911
Bertha von Suttner, Austria, Peace, 1905
Lev Landau, Azerbaijan, Physics, 1962
Muhammad Yunus, Bangladesh, Peace, 2006
Svetlana Alexievich, Belarus, Literature, 2015
Zhores Alferov, Belarus, Physics, 2000
Shimon Peres, Belarus, Peace, 1994
Menachem Begin, Belarus, Peace, 1978
Simon Kuznets, Belarus, Economics, 1971
François Englert, Belgium, Physics, 2013
Ilya Prigogine, Belgium, Chemistry, 1977
Christian de Duve, Belgium, Physiology or Medicine, 1974
Albert Claude, Belgium, Physiology or Medicine, 1974
Dominique Pire, Belgium, Peace, 1958
Corneille Heymans, Belgium, Physiology or Medicine, 1938
Jules Bordet, Belgium, Physiology or Medicine, 1919
Henri La Fontaine, Belgium, Peace, 1913
Maurice Maeterlinck, Belgium, Literature, 1911
Auguste Beernaert, Belgium, Peace, 1909
Institut de Droit International, Belgium, Peace, 1904
Vladimir Prelog, Bosnia and Herzegovina, Chemistry, 1975
Ivo Andrić, Bosnia and Herzegovina, Literature, 1961
Elias Canetti, Bulgaria, Literature, 1981
Arthur B. McDonald, Canada, Physics, 2015
Alice Munro, Canada, Literature, 2013
Ralph M. Steinman, Canada, Physiology or Medicine, 2011
Willard Boyle, Canada, Physics, 2009
Jack W. Szostak, Canada, Physiology or Medicine, 2009
Robert Mundell, Canada, Economics, 1999
Myron Scholes, Canada, Economics, 1997
William Vickrey, Canada, Economics, 1996
Pugwash Conferences on Science and World Affairs, Canada, Peace, 1995
Bertram Brockhouse, Canada, Physics, 1994
Michael Smith, Canada, Chemistry, 1993
Rudolph A. Marcus, Canada, Chemistry, 1992
Richard E. Taylor, Canada, Physics, 1990
Sidney Altman, Canada, Chemistry, 1989
John Polanyi, Canada, Chemistry, 1986
Henry Taube, Canada, Chemistry, 1983
David H. Hubel, Canada, Physiology or Medicine, 1981
Saul Bellow, Canada, Literature, 1976
Gerhard Herzberg, Canada, Chemistry, 1971
Charles B. Huggins, Canada, Physiology or Medicine, 1966
Lester B. Pearson, Canada, Peace, 1957
William Giauque, Canada, Chemistry, 1949
Frederick G. Banting, Canada, Physiology or Medicine, 1923
John James Rickard Macleod, Canada, Physiology or Medicine, 1923
Ernest Rutherford, Canada, Chemistry, 1908
Pablo Neruda, Chile, Literature, 1971
Gabriela Mistral, Chile, Literature, 1945
Tu Youyou, China, Physiology or Medicine, 2015
Mo Yan, China, Literature, 2012
Liu Xiaobo, China, Peace, 2010
Ei-ichi Negishi, China, Chemistry, 2010
Charles K. Kao, China, Physics, 2009
Gao Xingjian, China, Literature, 2000
Daniel C. Tsui, China, Physics, 1998
Edmond H. Fischer, China, Physiology or Medicine, 1992
14th Dalai Lama, China, Peace, 1989
Chen-Ning Yang, China, Physics, 1957
Tsung-Dao Lee, China, Physics, 1957
Walter Houser Brattain, China, Physics, 1956
Juan Manuel Santos, Colombia, Peace, 2016
Gabriel García Márquez, Colombia, Literature, 1982
Óscar Arias Sánchez, Costa Rica, Peace, 1987
Leopold Ružička, Croatia, Chemistry, 1939
Christopher A. Pissarides, Cyprus, Economics, 2010
Jaroslav Seifert, Czech Republic, Literature, 1984
Jaroslav Heyrovský, Czech Republic, Chemistry, 1959
Carl Ferdinand Cori, Czech Republic, 
Gerty Cori, Czech Republic, Physiology or Medicine, 1947
Jens Christian Skou, Denmark, Chemistry, 1997
Niels Kaj Jerne, Denmark, Physiology or Medicine, 1984
Aage Bohr, Denmark, Physics, 1975
Ben Roy Mottelson, Denmark, Physics, 1975
Johannes V. Jensen, Denmark, Literature, 1944
Henrik Dam, Denmark, Physiology or Medicine, 1943
Johannes Fibiger, Denmark, Physiology or Medicine, 1926
Niels Bohr, Denmark, Physics, 1922
August Krogh, Denmark, Physiology or Medicine, 1920
Karl Adolph Gjellerup, Denmark, Literature, 1917
Henrik Pontoppidan, Denmark, Literature, 1917
Fredrik Bajer, Denmark, Peace, 1908
Niels Ryberg Finsen, Denmark, Physiology or Medicine, 1903
Carlos Filipe Ximenes Belo, East Timor, Peace, 1996
José Ramos-Horta, East Timor, Peace, 1996
Mohamed ElBaradei, Egypt, Peace, 2005
Ahmed Zewail, Egypt, Chemistry, 1999
Naguib Mahfouz, Egypt, Literature, 1988
Anwar Sadat, Egypt, Peace, 1978
Bengt R. Holmström, Finland, Economics, 2016
Martti Ahtisaari, Finland, Peace, 2008
Ragnar Granit, Finland, Physiology or Medicine, 1967
Artturi Ilmari Virtanen, Finland, Chemistry, 1945
Frans Eemil Sillanpää, Finland, Literature, 1939
Jean-Pierre Sauvage, France, Chemistry, 2016
Jean Tirole, France, Economics, 2014
Patrick Modiano, France, Literature, 2014
Serge Haroche, France, Physics, 2012
Jules A. Hoffmann, France, Physiology or Medicine, 2011
J. M. G. Le Clézio, France, Literature, 2008
Luc Montagnier, France, Physiology or Medicine, 2008
Françoise Barré-Sinoussi, France, Physiology or Medicine, 2008
Albert Fert, France, Physics, 2007
Yves Chauvin, France, Chemistry, 2005
Médecins Sans Frontières, France, Peace, 1999
Claude Cohen-Tannoudji, France, Physics, 1997
Georges Charpak, France, Physics, 1992
Pierre-Gilles de Gennes, France, Physics, 1991
Maurice Allais, France, Economics, 1988
Jean-Marie Lehn, France, Chemistry, 1987
Claude Simon, France, Literature, 1985
Gérard Debreu, France, Economics, 1983
Jean Dausset, France, Physiology or Medicine, 1980
Roger Guillemin, France, Physiology or Medicine, 1977
Seán MacBride, France, Peace, 1974
Louis Néel, France, Physics, 1970
René Cassin, France, Peace, 1968
Alfred Kastler, France, Physics, 1966
François Jacob, France, Physiology or Medicine, 1965
Jacques Monod, France, Physiology or Medicine, 1965
André Lwoff, France, Physiology or Medicine, 1965
Jean-Paul Sartre, France, Literature, 1964
Saint-John Perse, France, Literature, 1960
Albert Camus, France, Literature, 1957
André Frédéric Cournand, France, Physiology or Medicine, 1956
François Mauriac, France, Literature, 1952
Albert Schweitzer, France, Peace, 1952
Léon Jouhaux, France, Peace, 1951
André Gide, France, Literature, 1947
Roger Martin du Gard, France, Literature, 1937
Frédéric Joliot-Curie, France, Chemistry, 1935
Irène Joliot-Curie, France, Chemistry, 1935
Ivan Bunin, France, Literature, 1933
Louis de Broglie, France, Physics, 1929
Charles Nicolle, France, Physiology or Medicine, 1928
Henri Bergson, France, Literature, 1927
Ferdinand Buisson, France, Peace, 1927
Aristide Briand, France, Peace, 1926
Jean Baptiste Perrin, France, Physics, 1926
Anatole France, France, Literature, 1921
Léon Bourgeois, France, Peace, 1920
Romain Rolland, France, Literature, 1915
Alfred Werner, France, Chemistry, 1913
Charles Richet, France, Physiology or Medicine, 1913
Alexis Carrel, France, Medicine, 1912
Paul Sabatier, France, Chemistry, 1912
Victor Grignard, France, Chemistry, 1912
Marie Curie, France, Chemistry, 1911
Paul-Henri-Benjamin d'Estournelles de Constant, France, Peace, 1909
Gabriel Lippmann, France, Physics, 1908
Charles Louis Alphonse Laveran, France, Physiology or Medicine, 1907
Louis Renault, France, Peace, 1907
Henri Moissan, France, Chemistry, 1906
Frédéric Mistral, France, Literature, 1904
